"country","iso_code","region","income_group","year","arima_model","forecast_coverage","lower_ci","upper_ci","reported_coverage","delta","lower_delta","upper_delta","within_ci","surviving_infants","missed_immunisations"
"Brunei Darussalam","BRN","Asia","HIC",2021,"ARIMA(1,0,0) with non-zero mean",0.980667968691927,0.936079018977533,0.99,0.99,0.00933203130807281,0.0539209810224666,0,TRUE,6098,61
"Brunei Darussalam","BRN","Asia","HIC",2022,"ARIMA(1,0,0) with non-zero mean",0.978243466177375,0.930857165125323,0.99,0.99,0.0117565338226249,0.0591428348746772,0,TRUE,6009,60
"Bhutan","BTN","Asia","LMIC",2020,"ARIMA(0,1,0)",0.97,0.9043749388819,0.99,0.95,-0.02,0.0456250611180997,-0.04,TRUE,9568,478
"Bhutan","BTN","Asia","LMIC",2021,"ARIMA(0,1,0)",0.97,0.87719214853522,0.99,0.98,0.01,0.10280785146478,-0.01,TRUE,9507,190
"Bhutan","BTN","Asia","LMIC",2022,"ARIMA(0,1,0)",0.97,0.856334059893638,0.99,0.98,0.01,0.123665940106362,-0.01,TRUE,9469,189
"Botswana","BWA","Africa","UMIC",2020,"ARIMA(0,1,0)",0.95,0.943626096836859,0.956373903163141,0.95,0,0.00637390316314068,-0.00637390316314068,TRUE,59780,2989
"Botswana","BWA","Africa","UMIC",2021,"ARIMA(0,1,0)",0.95,0.940985939701434,0.959014060298566,0.95,0,0.00901406029856622,-0.00901406029856622,TRUE,59251,2963
"Botswana","BWA","Africa","UMIC",2022,"ARIMA(0,1,0)",0.95,0.938960075878916,0.961039924121084,0.86,-0.09,-0.0789600758789164,-0.101039924121084,FALSE,58829,8236
"Canada","CAN","Americas","HIC",2020,"ARIMA(1,0,0) with non-zero mean",0.908973150079904,0.879701945520536,0.938244354639273,0.92,0.0110268499200959,0.0402980544794644,-0.0182443546392725,TRUE,369130,29530
"Canada","CAN","Americas","HIC",2021,"ARIMA(1,0,0) with non-zero mean",0.908340244275049,0.873955665978906,0.942724822571193,0.92,0.0116597557249508,0.0460443340210941,-0.0227248225711925,TRUE,372355,29788
"Canada","CAN","Americas","HIC",2022,"ARIMA(1,0,0) with non-zero mean",0.907950148556113,0.871812168052265,0.944088129059962,0.92,0.0120498514438867,0.0481878319477351,-0.0240881290599617,TRUE,374917,29993
"Switzerland","CHE","Europe","HIC",2020,"ARIMA(0,1,0) with drift",0.961578947368421,0.954223733761827,0.968934160975015,0.96,-0.00157894736842112,0.00577626623817262,-0.00893416097501487,TRUE,86290,3452
"Switzerland","CHE","Europe","HIC",2021,"ARIMA(0,1,0) with drift",0.963157894736842,0.952756051900246,0.973559737573438,0.96,-0.00315789473684214,0.00724394809975382,-0.0135597375734381,TRUE,86846,3474
"Switzerland","CHE","Europe","HIC",2022,"ARIMA(0,1,0) with drift",0.964736842105263,0.951997238438121,0.977476445772405,0.96,-0.00473684210526315,0.00800276156187907,-0.0174764457724054,TRUE,86249,3450
"Chile","CHL","Americas","HIC",2020,"ARIMA(0,0,1) with non-zero mean",0.945872191038717,0.906593334021367,0.985151048056067,0.93,-0.0158721910387172,0.0234066659786326,-0.055151048056067,TRUE,226847,15879
"Chile","CHL","Americas","HIC",2021,"ARIMA(0,0,1) with non-zero mean",0.939715564692611,0.895008393599758,0.984422735785463,0.95,0.0102844353073893,0.054991606400242,-0.0344227357854634,TRUE,228192,11410
"Chile","CHL","Americas","HIC",2022,"ARIMA(0,0,1) with non-zero mean",0.939715564692611,0.895008393599758,0.984422735785463,0.96,0.0202844353073893,0.064991606400242,-0.0244227357854634,TRUE,229841,9194
"China","CHN","Asia","UMIC",2020,"ARIMA(0,1,0) with drift",0.99,0.965465425151795,0.99,0.99,0,0.0245345748482053,0,TRUE,12179125,121791
"China","CHN","Asia","UMIC",2021,"ARIMA(0,1,0) with drift",0.99,0.959619192621889,0.99,0.99,0,0.0303808073781113,0,TRUE,10828527,108285
"China","CHN","Asia","UMIC",2022,"ARIMA(0,1,0) with drift",0.99,0.956847653343815,0.99,0.99,0,0.0331523466561845,0,TRUE,10703232,107032
"Cote d'Ivoire","CIV","Africa","LMIC",2020,"ARIMA(0,1,0)",0.81,0.660597915039673,0.959402084960327,0.75,-0.0600000000000001,0.0894020849603271,-0.209402084960327,TRUE,875926,218982
"Cote d'Ivoire","CIV","Africa","LMIC",2021,"ARIMA(0,1,0)",0.81,0.598713545202288,0.99,0.76,-0.05,0.161286454797712,-0.23,TRUE,891654,213997
"Cote d'Ivoire","CIV","Africa","LMIC",2022,"ARIMA(0,1,0)",0.81,0.551227998091991,0.99,0.76,-0.05,0.208772001908009,-0.23,TRUE,901482,216356
"Cameroon","CMR","Africa","LMIC",2020,"ARIMA(1,0,0) with non-zero mean",0.673630709144715,0.594711688813298,0.752549729476133,0.69,0.0163692908552846,0.0952883111867019,-0.0625497294761327,TRUE,903212,279996
"Cameroon","CMR","Africa","LMIC",2021,"ARIMA(1,0,0) with non-zero mean",0.676905224022117,0.570630489839923,0.783179958204311,0.69,0.0130947759778827,0.119369510160077,-0.0931799582043114,TRUE,913361,283142
"Cameroon","CMR","Africa","LMIC",2022,"ARIMA(1,0,0) with non-zero mean",0.67985848941875,0.555700703350272,0.804016275487229,0.68,0.000141510581249671,0.124299296649728,-0.124016275487229,TRUE,923258,295443
"Democratic Republic of the Congo","COD","Africa","LIC",2020,"ARIMA(0,1,0)",0.73,0.615450242460185,0.844549757539815,0.7,-0.03,0.0845497575398146,-0.144549757539815,TRUE,3759997,1127999
"Democratic Republic of the Congo","COD","Africa","LIC",2021,"ARIMA(0,1,0)",0.73,0.568002179320644,0.891997820679356,0.65,-0.08,0.0819978206793557,-0.241997820679356,TRUE,3864669,1352634
