"country","iso_code","region","income_group","gavi_status","predicts_2020","predicts_lower","predicts_upper","actuals_2020","cov_delta_mean","cov_delta_high","cov_delta_low","confidence_95_level","ci_width"
"Mali","MLI","West & Central Africa","Low income","Initial self-financing",0.754712832452493,0.674405858392228,0.835019806512758,0.7,-0.0547128324524929,-0.135019806512758,0.0255941416077718,FALSE,0.16061394812053
"Malta","MLT","Western Europe","High income","Never Gavi",0.965762734730867,0.861760398091819,1.06976507136991,0.98,0.0142372652691332,-0.0897650713699143,0.118239601908181,FALSE,0.208004673278095
"Mauritania","MRT","West & Central Africa","Lower middle income","Preparatory transition phase",0.7415,0.579967948739401,0.903032051260599,0.71,-0.0314999999999999,-0.193032051260599,0.130032051260599,FALSE,0.323064102521198
"Mauritius","MUS","Eastern & Southern Africa","Upper middle income","Never Gavi",0.958746533380357,0.901466115593037,1.01602695116768,0.93,-0.0287465333803567,-0.0860269511676767,0.0285338844069633,FALSE,0.11456083557464
"Mexico","MEX","Latin America & Caribbean","Upper middle income","Never Gavi",0.82,0.726649926113719,0.913350073886281,0.74,-0.08,-0.173350073886281,0.0133500738862806,FALSE,0.186700147772561
"Micronesia (Federated States of)","FSM","East Asia & Pacific","Lower middle income","Never Gavi",0.8025,0.657510766119892,0.947489233880108,0.83,0.0275000000000001,-0.117489233880108,0.172489233880108,FALSE,0.289978467760216
"Mongolia","MNG","East Asia & Pacific","Lower middle income","Fully self-financing",0.977852256655002,0.949614502250804,1.0060900110592,0.96,-0.0178522566550021,-0.0460900110592,0.0103854977491957,FALSE,0.0564755088083957
"Mozambique","MOZ","Eastern & Southern Africa","Low income","Initial self-financing",0.88,0.820346810401072,0.939653189598928,0.79,-0.09,-0.149653189598927,-0.0303468104010725,TRUE,0.119306379197855
"Myanmar","MMR","East Asia & Pacific","Lower middle income","Preparatory transition phase",0.9,0.786960002313465,1.01303999768653,0.84,-0.0600000000000001,-0.173039997686535,0.0530399976865349,FALSE,0.22607999537307
"Nauru","NRU","East Asia & Pacific","High income","Never Gavi",0.96,0.663642245408498,1.2563577545915,0.95,-0.01,-0.306357754591502,0.286357754591502,FALSE,0.592715509183003
"Nepal","NPL","South Asia","Lower middle income","Initial self-financing",0.947509292037551,0.866944471169995,1.02807411290511,0.84,-0.107509292037551,-0.188074112905107,-0.0269444711699953,TRUE,0.161129641735111
"New Zealand","NZL","East Asia & Pacific","High income","Never Gavi",0.92,0.895368518175422,0.944631481824578,0.92,0,-0.0246314818245776,0.0246314818245776,FALSE,0.0492629636491553
"Nicaragua","NIC","Latin America & Caribbean","Lower middle income","Accelerated transition phase",0.98,0.922240645815754,1.03775935418425,0.92,-0.0599999999999999,-0.117759354184245,-0.00224064581575445,TRUE,0.115518708368491
"Niger","NER","West & Central Africa","Low income","Initial self-financing",0.834736842105367,0.755157874421085,0.914315809789649,0.81,-0.0247368421053666,-0.104315809789649,0.0548421255789154,FALSE,0.159157935368564
"Nigeria","NGA","West & Central Africa","Lower middle income","Accelerated transition phase",0.57,0.462460101012625,0.677539898987375,0.57,0,-0.107539898987375,0.107539898987375,FALSE,0.21507979797475
"Norway","NOR","Western Europe","High income","Never Gavi",0.97,0.945782409439516,0.994217590560484,0.97,0,-0.0242175905604838,0.0242175905604838,FALSE,0.0484351811209676
"Pakistan","PAK","South Asia","Lower middle income","Preparatory transition phase",0.84,0.763824577328513,0.916175422671486,0.77,-0.07,-0.146175422671486,0.00617542267148652,FALSE,0.152350845342973
"Palau","PLW","East Asia & Pacific","High income","Never Gavi",0.945618704250238,0.734054554446713,1.15718285405376,0.96,0.014381295749762,-0.197182854053763,0.225945445553287,FALSE,0.42312829960705
"Panama","PAN","Latin America & Caribbean","Upper middle income","Never Gavi",0.88,0.779656291046609,0.980343708953391,0.74,-0.14,-0.240343708953391,-0.0396562910466094,TRUE,0.200687417906781
"Papua New Guinea","PNG","East Asia & Pacific","Lower middle income","Accelerated transition phase",0.35,0.230694986608318,0.469305013391682,0.39,0.04,-0.0793050133916816,0.159305013391682,FALSE,0.238610026783363
