Country,ISO code,UNICEF Region (unused),UN region,Income group,Gavi eligibility status,Gavi eligibility (binary),ARIMA modelled expected 2020 coverage (mean),ARIMA modelled expected coverage (max 95% CI),ARIMA modelled expected coverage (min 95% CI),ARIMA forecast unreliable,ARIMA coverage 95% CI,WUENIC reported 2020 coverage,Coverage delta,Coverage delta (max 95% CI),Coverage delta (min 95% CI),95% confident actuals outside expected, Surviving infants , Total missed children , Expected missed children , Additional missed children (mean) , Additional missed children (max 95% CI) , Additional missed children (min 95% CI) 
Lebanon,LBN,Middle East & North Africa,Asia,UMIC,Never Gavi,Not eligible,83.0%,80.8%,85.2%,FALSE,4.4%,71.0%,-12.0%,-9.8%,-14.2%,TRUE," 114,637 "," 33,244 "," 19,488 "," 13,756 "," 11,215 "," 16,297 "
Lesotho,LSO,Eastern & Southern Africa,Africa,LMIC,Preparatory transition phase,Gavi-eligible,87.8%,82.4%,93.2%,FALSE,10.9%,87.0%,-0.8%,4.6%,-6.2%,FALSE," 52,510 "," 6,826 "," 6,396 ", 429 ," (2,419)"," 3,279 "
Liberia,LBR,West & Central Africa,Africa,LIC,Initial self-financing,Gavi-eligible,70.0%,51.2%,88.8%,FALSE,37.6%,65.0%,-5.0%,13.8%,-23.8%,FALSE," 155,704 "," 54,496 "," 46,711 "," 7,785 "," (21,452)"," 37,022 "
Libya,LBY,Middle East & North Africa,Africa,UMIC,Never Gavi,Not eligible,76.5%,65.7%,87.3%,TRUE,21.6%,73.0%,-3.5%,7.3%,-14.3%,FALSE," 120,886 "," 32,639 "," 28,449 "," 4,190 "," (8,879)"," 17,259 "
Lithuania,LTU,Western Europe,Europe,HIC,Never Gavi,Not eligible,93.2%,91.0%,95.4%,FALSE,4.5%,91.0%,-2.2%,0.0%,-4.4%,FALSE," 27,653 "," 2,488 "," 1,880 ", 608 , (9)," 1,225 "
Luxembourg,LUX,Western Europe,Europe,HIC,Never Gavi,Not eligible,99.0%,98.5%,99.4%,FALSE,0.9%,99.0%,0.0%,0.5%,-0.4%,FALSE," 6,479 ", 64 , 68 , (3), (31), 25 
Madagascar,MDG,Eastern & Southern Africa,Africa,LIC,Initial self-financing,Gavi-eligible,69.7%,60.0%,79.4%,FALSE,19.4%,68.0%,-1.7%,8.0%,-11.4%,FALSE," 868,735 "," 277,995 "," 263,214 "," 14,780 "," (69,561)"," 99,122 "
Malawi,MWI,Eastern & Southern Africa,Africa,LIC,Initial self-financing,Gavi-eligible,88.9%,73.4%,104.4%,FALSE,31.0%,94.0%,5.1%,20.6%,-10.4%,FALSE," 618,131 "," 37,087 "," 68,612 "," (31,524)"," (127,476)"," 64,427 "
Malaysia,MYS,East Asia & Pacific,Asia,UMIC,Never Gavi,Not eligible,97.9%,95.1%,100.6%,FALSE,5.5%,98.0%,0.1%,2.9%,-2.6%,FALSE," 528,868 "," 10,577 "," 11,268 ", (690)," (15,274)"," 13,892 "
Maldives,MDV,South Asia,Asia,UMIC,Never Gavi,Not eligible,97.9%,96.1%,99.7%,FALSE,3.6%,99.0%,1.1%,2.9%,-0.7%,FALSE," 6,795 ", 67 , 143 , (75), (198), 47 
Mali,MLI,West & Central Africa,Africa,LIC,Initial self-financing,Gavi-eligible,75.5%,67.4%,83.5%,FALSE,16.1%,70.0%,-5.5%,2.6%,-13.5%,FALSE," 772,691 "," 231,807 "," 189,531 "," 42,276 "," (19,776)"," 104,328 "
