"Country","ISO code","Region","Income group","Gavi eligibility status","ARIMA modelled expected 2020 coverage (mean)","ARIMA modelled expected coverage (lower bound)","ARIMA modelled expected coverage (upper bound)","WUENIC reported 2020 coverage","Coverage delta","cov_delta_high","cov_delta_low","confident_95","ci_width","un_region","Data unreliable flag","Surviving infants","Additional missed children (mean)","Additional missed children (lower bound)","Additional missed children (upper bound)","Expected missed children","Total missed children"
"Latvia","LVA","Western Europe","HIC","Never Gavi","98.2%",0.945717777033122,1.01755826757415,"99.0%","0.8%",-0.0275582675741468,0.0442822229668781,FALSE,0.0718404905410249,"Europe",FALSE,19599,-163,-867,540,359,195
"Lebanon","LBN","Middle East & North Africa","UMIC","Never Gavi","83.0%",0.807832698145348,0.852167301854652,"71.0%","-12.0%",-0.142167301854652,-0.0978326981453477,TRUE,0.0443346037093046,"Asia",FALSE,114637,13756,11215,16297,19488,33244
"Lesotho","LSO","Eastern & Southern Africa","LMIC","Preparatory transition phase","87.8%",0.823917506264427,0.932459810997573,"87.0%","-0.8%",-0.0624598109975726,0.0460824937355729,FALSE,0.108542304733146,"Africa",FALSE,52510,429,-2419,3279,6396,6826
"Liberia","LBR","West & Central Africa","LIC","Initial self-financing","70.0%",0.512221963172504,0.887778036827496,"65.0%","-5.0%",-0.237778036827496,0.137778036827496,FALSE,0.375556073654992,"Africa",FALSE,155704,7785,-21452,37022,46711,54496
"Libya","LBY","Middle East & North Africa","UMIC","Never Gavi","76.5%",0.656549034041025,0.872773527170344,"73.0%","-3.5%",-0.142773527170344,0.0734509659589745,FALSE,0.216224493129319,"Africa",TRUE,120886,4190,-8879,17259,28449,32639
"Lithuania","LTU","Western Europe","HIC","Never Gavi","93.2%",0.909664432745606,0.954323382013065,"91.0%","-2.2%",-0.0443233820130651,0.000335567254393654,FALSE,0.0446589492674587,"Europe",FALSE,27653,608,-9,1225,1880,2488
"Luxembourg","LUX","Western Europe","HIC","Never Gavi","99.0%",0.985117387297117,0.993882612702883,"99.0%","0.0%",-0.00388261270288293,0.00488261270288282,FALSE,0.00876522540576574,"Europe",FALSE,6479,-3,-31,25,68,64
"Madagascar","MDG","Eastern & Southern Africa","LIC","Initial self-financing","69.7%",0.599927380759949,0.794099594075556,"68.0%","-1.7%",-0.114099594075556,0.0800726192400509,FALSE,0.194172213315607,"Africa",FALSE,868735,14780,-69561,99122,263214,277995
"Malawi","MWI","Eastern & Southern Africa","LIC","Initial self-financing","88.9%",0.733770956622442,1.04422904337756,"94.0%","5.1%",-0.104229043377558,0.206229043377558,FALSE,0.310458086755117,"Africa",FALSE,618131,-31524,-127476,64427,68612,37087
"Malaysia","MYS","East Asia & Pacific","UMIC","Never Gavi","97.9%",0.951118411849984,1.00626847531548,"98.0%","0.1%",-0.0262684753154832,0.0288815881500157,FALSE,0.0551500634654989,"Asia",FALSE,528868,-690,-15274,13892,11268,10577
"Maldives","MDV","South Asia","UMIC","Never Gavi","97.9%",0.960851990122655,0.99694740903988,"99.0%","1.1%",-0.00694740903988034,0.0291480098773446,FALSE,0.0360954189172249,"Asia",FALSE,6795,-75,-198,47,143,67
