"Country","ISO code","ARIMA model fit","Expected 2020 coverage","Expected: 95% Confidence interval - lower bound","Expected: 95% Confidence interval - upper bound"
"Tonga","TON","ARIMA(0,0,0) with non-zero mean","98.5%","96.3%","100.8%"
"Trinidad and Tobago","TTO","ARIMA(0,0,0) with non-zero mean","95.0%","89.3%","100.7%"
"Tunisia","TUN","ARIMA(0,1,0)","94.0%","91.7%","96.3%"
"Turkey","TUR","ARIMA(0,1,0)","99.0%","90.0%","108.0%"
"Turkmenistan","TKM","ARIMA(0,1,1)","99.0%","97.1%","100.8%"
"Tuvalu","TUV","ARIMA(0,0,0) with non-zero mean","98.6%","95.9%","101.3%"
"Uganda","UGA","ARIMA(1,1,0) with drift","98.2%","92.3%","104.0%"
"Ukraine","UKR","ARIMA(0,1,0)","89.0%","64.1%","113.9%"
"United Arab Emirates","ARE","ARIMA(0,1,0)","99.0%","97.0%","101.0%"
"United Kingdom","GBR","ARIMA(0,1,0)","97.0%","96.4%","97.6%"
"United Republic of Tanzania","TZA","ARIMA(1,0,0) with non-zero mean","92.1%","86.6%","97.5%"
"United States","USA","ARIMA(0,1,0)","97.0%","95.6%","98.4%"
"Uruguay","URY","ARIMA(0,0,0) with non-zero mean","97.9%","94.7%","101.2%"
"Uzbekistan","UZB","ARIMA(0,0,0) with non-zero mean","98.6%","96.8%","100.5%"
"Vanuatu","VUT","ARIMA(0,1,0)","96.0%","91.9%","100.1%"
"Venezuela (Bolivarian Republic of)","VEN","ARIMA(0,0,1) with non-zero mean","88.9%","76.4%","101.4%"
"Viet Nam","VNM","ARIMA(0,0,1) with non-zero mean","98.1%","87.4%","108.8%"
"Yemen","YEM","ARIMA(0,0,1) with non-zero mean","84.4%","76.9%","92.0%"
"Zambia","ZMB","ARIMA(0,0,1) with non-zero mean","93.3%","88.3%","98.2%"
"Zimbabwe","ZWE","ARIMA(0,1,0)","94.0%","88.5%","99.5%"
