"Country","ISO code","UNICEF Region (unused)","UN region","Income group","Gavi eligibility status","Gavi eligibility (binary)","ARIMA modelled expected 2020 coverage (mean)","ARIMA modelled expected coverage (max 95% CI)","ARIMA modelled expected coverage (min 95% CI)","ARIMA forecast unreliable","ARIMA coverage 95% CI","WUENIC reported 2020 coverage","Coverage delta","Coverage delta (max 95% CI)","Coverage delta (min 95% CI)","95% confident actuals outside expected","Surviving infants","Total missed children","Expected missed children","Additional missed children (mean)","Additional missed children (max 95% CI)","Additional missed children (min 95% CI)"
"Greece","GRC","Western Europe","Europe","HIC","Never Gavi","Not eligible","99.0%",0.979358798823176,1.00064192329969,FALSE,0.02128312447651,"99.0%","0.0%",0.0106412011768241,-0.0106419232996859,FALSE,76072,760,760,0,-809,809
"Grenada","GRD","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","95.4%",0.88214321725975,1.02685678274025,FALSE,0.1447135654805,"72.0%","-23.4%",-0.16214321725975,-0.30685678274025,TRUE,1761,493,80,412,285,540
"Guatemala","GTM","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","84.9%",0.746658618519299,0.952040247717329,FALSE,0.205381629198029,"83.0%","-1.9%",0.0833413814807008,-0.122040247717329,FALSE,419559,71325,63206,8118,-34966,51203
"Guinea","GIN","West & Central Africa","Africa","LIC","Initial self-financing","Gavi-eligible","47.8%",0.401160407036986,0.55418958757791,FALSE,0.153029180540924,"47.0%","-0.8%",0.0688395929630141,-0.0841895875779097,FALSE,445239,235976,232559,3417,-30650,37484
"Guinea-Bissau","GNB","West & Central Africa","Africa","LIC","Initial self-financing","Gavi-eligible","79.6%",0.754525817000564,0.837454898004702,FALSE,0.0829290810041385,"74.0%","-5.6%",-0.0145258170005638,-0.0974548980047023,TRUE,63401,16484,12934,3549,920,6178
"Guyana","GUY","Latin America & Caribbean","Americas","UMIC","Fully self-financing","Not eligible","98.8%",0.944284459286915,1.03095571687964,FALSE,0.086671257592726,"99.0%","0.2%",0.0457155407130847,-0.0409557168796413,FALSE,14925,149,184,-35,-682,611
"Haiti","HTI","Latin America & Caribbean","Americas","LMIC","Initial self-financing","Gavi-eligible","38.0%",0.314341536594615,0.445658463405385,TRUE,0.13131692681077,"51.0%","13.0%",0.195658463405385,0.0643415365946152,TRUE,255229,125062,158241,-33179,-49937,-16421
"Honduras","HND","Latin America & Caribbean","Americas","LMIC","Fully self-financing","Not eligible","89.7%",0.850801511276644,0.94339305159691,FALSE,0.0925915403202655,"80.0%","-9.7%",-0.0508015112766441,-0.14339305159691,TRUE,205825,41164,21179,19985,10456,29513
"Hungary","HUN","Western Europe","Europe","HIC","Never Gavi","Not eligible","99.0%",0.99,0.99,FALSE,0,"99.0%","0.0%",0,0,TRUE,90708,907,907,0,0,0
"Iceland","ISL","Western Europe","Europe","HIC","Never Gavi","Not eligible","92.0%",0.867947780505999,0.972052219494002,FALSE,0.104104438988003,"93.0%","1.0%",0.0620522194940015,-0.0420522194940015,FALSE,4001,280,320,-40,-248,168
"India","IND","South Asia","Asia","LMIC","Accelerated transition phase","Gavi-eligible","92.7%",0.892894537057284,0.961842305047972,FALSE,0.0689477679906878,"85.0%","-7.7%",-0.0428945370572842,-0.111842305047972,TRUE,23368880,3505332,1697318,1808013,1002397,2613629
"Indonesia","IDN","East Asia & Pacific","Asia","LMIC","Fully self-financing","Not eligible","85.0%",0.793122707357008,0.906877292642992,FALSE,0.113754585285985,"77.0%","-8.0%",-0.0231227073570076,-0.136877292642992,TRUE,4689610,1078610,703441,375168,108436,641901
"Iran (Islamic Republic of)","IRN","Middle East & North Africa","Asia","LMIC","Never Gavi","Not eligible","98.5%",0.963435707770769,1.00656429222921,FALSE,0.0431285844584394,"99.0%","0.5%",0.0265642922292307,-0.0165642922292086,FALSE,1485489,14854,22282,-7427,-39460,24606
"Iraq","IRQ","Middle East & North Africa","Asia","UMIC","Never Gavi","Not eligible","81.3%",0.700566602104267,0.924966114863749,FALSE,0.224399512759482,"74.0%","-7.3%",0.0394333978957331,-0.184966114863749,FALSE,1110719,288786,207963,80822,-43799,205445
"Ireland","IRL","Western Europe","Europe","HIC","Never Gavi","Not eligible","94.4%",0.922064089681332,0.965033759415599,FALSE,0.0429696697342667,"94.0%","-0.4%",0.0179359103186679,-0.0250337594155988,FALSE,59191,3551,3341,210,-1061,1481
"Israel","ISR","Middle East & North Africa","Asia","HIC","Never Gavi","Not eligible","98.0%",0.946650695589806,1.01334930441019,FALSE,0.0666986088203889,"98.0%","0.0%",0.0333493044101945,-0.0333493044101945,FALSE,169839,3396,3396,0,-5664,5664
"Italy","ITA","Western Europe","Europe","HIC","Never Gavi","Not eligible","95.6%",0.918836510176721,0.992310037255179,FALSE,0.0734735270784577,"94.0%","-1.6%",0.0211634898232789,-0.0523100372551788,FALSE,436862,26211,19408,6803,-9245,22852
"Jamaica","JAM","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","94.7%",0.887890022570529,1.00710997742947,FALSE,0.119219954858942,"96.0%","1.3%",0.0721099774294712,-0.047109977429471,FALSE,45942,1837,2411,-574,-3312,2164
"Japan","JPN","East Asia & Pacific","Asia","HIC","Never Gavi","Not eligible","97.5%",0.923967855187422,1.02556545737637,FALSE,0.101597602188948,"96.0%","-1.5%",0.0360321448125778,-0.0655654573763702,FALSE,907427,36297,22897,13399,-32696,59495
"Jordan","JOR","Middle East & North Africa","Asia","UMIC","Never Gavi","Not eligible","96.7%",0.915300419624219,1.01869958037575,TRUE,0.103399160751533,"77.0%","-19.7%",-0.145300419624219,-0.248699580375752,TRUE,210916,48510,6960,41550,30646,52454
"Kazakhstan","KAZ","Eastern Europe & Central Asia","Asia","UMIC","Never Gavi","Not eligible","95.9%",0.860073187710801,1.0589268122892,FALSE,0.198853624578397,"88.0%","-7.9%",0.0199268122891988,-0.178926812289198,FALSE,365668,43880,14809,29070,-7286,65427
"Kenya","KEN","Eastern & Southern Africa","Africa","LMIC","Preparatory transition phase","Gavi-eligible","91.0%",0.810161577153103,1.0098384228469,FALSE,0.199676845693795,"89.0%","-2.0%",0.0798384228468974,-0.119838422846897,FALSE,1455333,160086,130979,29106,-116191,174404
"Kiribati","KIR","East Asia & Pacific","Oceania","LMIC","Fully self-financing","Not eligible","92.7%",0.768847143919512,1.08478367923056,FALSE,0.315936535311052,"92.0%","-0.7%",0.151152856080488,-0.164783679230564,FALSE,3104,248,227,21,-469,511
"Kyrgyzstan","KGZ","Eastern Europe & Central Asia","Asia","LMIC","Preparatory transition phase","Gavi-eligible","95.3%",0.918863496417943,0.988075673643726,FALSE,0.0692121772257828,"87.0%","-8.3%",-0.0488634964179431,-0.118075673643726,TRUE,148413,19293,6905,12387,7251,17523
"Lao People's Democratic Republic","LAO","East Asia & Pacific","Asia","LMIC","Accelerated transition phase","Gavi-eligible","80.0%",0.706003149653334,0.893996850346666,FALSE,0.187993700693332,"79.0%","-1.0%",0.0839968503466658,-0.103996850346666,FALSE,158882,33365,31776,1588,-13345,16523
"Latvia","LVA","Western Europe","Europe","HIC","Never Gavi","Not eligible","98.2%",0.945717777033122,1.01755826757415,FALSE,0.0718404905410249,"99.0%","0.8%",0.0442822229668781,-0.0275582675741468,FALSE,19599,195,359,-163,-867,540
"Lebanon","LBN","Middle East & North Africa","Asia","UMIC","Never Gavi","Not eligible","83.0%",0.807832698145348,0.852167301854652,FALSE,0.0443346037093046,"71.0%","-12.0%",-0.0978326981453477,-0.142167301854652,TRUE,114637,33244,19488,13756,11215,16297
"Lesotho","LSO","Eastern & Southern Africa","Africa","LMIC","Preparatory transition phase","Gavi-eligible","87.8%",0.823917506264427,0.932459810997573,FALSE,0.108542304733146,"87.0%","-0.8%",0.0460824937355729,-0.0624598109975726,FALSE,52510,6826,6396,429,-2419,3279
"Liberia","LBR","West & Central Africa","Africa","LIC","Initial self-financing","Gavi-eligible","70.0%",0.512221963172504,0.887778036827496,FALSE,0.375556073654992,"65.0%","-5.0%",0.137778036827496,-0.237778036827496,FALSE,155704,54496,46711,7785,-21452,37022
"Libya","LBY","Middle East & North Africa","Africa","UMIC","Never Gavi","Not eligible","76.5%",0.656549034041025,0.872773527170344,TRUE,0.216224493129319,"73.0%","-3.5%",0.0734509659589745,-0.142773527170344,FALSE,120886,32639,28449,4190,-8879,17259
"Lithuania","LTU","Western Europe","Europe","HIC","Never Gavi","Not eligible","93.2%",0.909664432745606,0.954323382013065,FALSE,0.0446589492674587,"91.0%","-2.2%",0.000335567254393654,-0.0443233820130651,FALSE,27653,2488,1880,608,-9,1225
"Luxembourg","LUX","Western Europe","Europe","HIC","Never Gavi","Not eligible","99.0%",0.985117387297117,0.993882612702883,FALSE,0.00876522540576574,"99.0%","0.0%",0.00488261270288282,-0.00388261270288293,FALSE,6479,64,68,-3,-31,25
"Madagascar","MDG","Eastern & Southern Africa","Africa","LIC","Initial self-financing","Gavi-eligible","69.7%",0.599927380759949,0.794099594075556,FALSE,0.194172213315607,"68.0%","-1.7%",0.0800726192400509,-0.114099594075556,FALSE,868735,277995,263214,14780,-69561,99122
