unicef_region,iso3,country,vaccine,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
EAPR,KIR,Kiribati,DTP1,99,99,97,96,94,82,81,83,95,94,99,97,90,97,99,98,93,75,78,82,85,95,96,96,97,92,82,88,99,95,88,98,92,84,61,62,62,41,65,77,54,68
MENA,KWT,Kuwait,DTP1,99,99,99,99,99,99,99,97,99,99,99,98,99,99,99,99,99,99,99,99,99,98,97,98,98,99,99,99,98,96,93,88,97,97,97,97,96,96,96,94,92,86
ECAR,KGZ,Kyrgyzstan,DTP1,89,90,99,98,94,97,99,96,98,96,97,99,98,99,98,96,98,99,99,99,99,99,99,98,98,98,97,94,84,94,,,,,,,,,,,,
EAPR,LAO,Lao People's Democratic Republic,DTP1,85,87,86,91,91,88,88,88,84,84,82,81,76,73,59,68,68,66,72,64,59,83,83,82,82,80,77,72,50,47,46,41,45,40,31,24,22,24,27,27,27,
Non-programme,LVA,Latvia,DTP1,96,99,99,97,98,99,97,93,96,92,95,99,98,94,98,98,99,99,98,99,99,99,98,99,99,99,99,99,97,95,,,,,,,,,,,,
MENA,LBN,Lebanon,DTP1,88,87,96,96,96,96,96,96,95,93,91,88,86,84,84,84,83,83,83,85,88,90,92,95,97,97,97,97,97,96,95,94,92,84,71,55,40,22,22,22,20,17
ESAR,LSO,Lesotho,DTP1,92,92,92,92,92,92,89,94,98,98,97,97,96,96,96,96,95,95,95,89,83,87,90,92,93,94,95,94,94,93,92,91,91,90,89,91,92,88,83,79,75,75
WCAR,LBR,Liberia,DTP1,81,82,86,91,89,83,77,74,91,91,86,80,90,85,80,75,75,65,69,73,76,80,84,,,,,,,,,,,,,,,,,,,
MENA,LBY,Libya,DTP1,74,74,74,74,99,98,98,96,98,99,99,98,98,98,98,98,98,99,99,97,96,97,97,98,98,98,98,98,98,96,95,94,95,94,94,94,93,93,92,89,86,82
Non-programme,LTU,Lithuania,DTP1,93,95,96,95,97,97,97,97,97,97,95,98,98,96,99,98,98,94,98,98,98,99,98,97,96,97,96,94,94,92,,,,,,,,,,,,
Non-programme,LUX,Luxembourg,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,98,97,97,97,96,96,96,98,95,91,87,91,,,
ESAR,MDG,Madagascar,DTP1,65,73,76,73,71,74,71,77,76,78,80,78,80,84,92,93,88,82,79,76,75,74,73,73,73,73,80,86,86,85,77,71,70,67,60,55,47,42,47,37,,
ESAR,MWI,Malawi,DTP1,95,95,97,96,93,89,93,97,96,99,98,97,97,97,96,99,99,99,99,94,99,98,98,98,98,96,96,94,97,95,95,95,95,94,92,80,78,80,84,84,86,80
EAPR,MYS,Malaysia,DTP1,98,99,99,99,99,98,99,99,99,99,98,98,99,99,99,98,98,98,98,98,98,99,99,99,98,98,98,95,91,92,93,95,92,76,78,73,68,67,71,90,86,86
ROSA,MDV,Maldives,DTP1,97,99,99,99,99,99,99,99,99,99,97,97,99,99,99,98,99,98,98,98,99,98,99,98,98,98,99,98,93,99,98,97,97,95,67,67,53,48,35,18,18,22
WCAR,MLI,Mali,DTP1,82,75,82,82,82,82,78,73,69,75,80,81,82,85,89,91,96,94,91,87,78,61,67,73,79,77,73,64,71,63,59,67,51,41,28,28,28,,,,,
Non-programme,MLT,Malta,DTP1,99,99,98,99,98,97,98,99,99,99,99,97,91,88,84,85,94,92,96,95,98,97,97,97,97,97,97,96,94,94,95,84,72,95,95,95,62,74,,,,
EAPR,MHL,Marshall Islands,DTP1,97,97,96,97,97,87,95,97,97,97,99,99,99,99,99,90,89,71,90,90,99,64,85,95,92,92,88,86,79,94,88,97,97,97,,,,,,,,
WCAR,MRT,Mauritania,DTP1,75,80,88,86,86,87,87,95,95,95,91,82,79,88,92,85,85,83,91,96,76,73,70,56,69,89,93,88,82,76,65,69,63,62,55,57,52,45,44,44,41,
ESAR,MUS,Mauritius,DTP1,93,94,97,98,96,97,98,97,99,99,99,99,99,99,97,99,99,98,99,96,92,88,91,93,96,96,97,96,96,96,97,95,95,95,94,95,96,95,96,97,94,96
LACR,MEX,Mexico,DTP1,83,77,84,90,93,96,99,95,90,99,99,96,98,98,99,99,99,99,99,99,99,99,99,98,98,98,97,97,94,96,96,77,85,82,83,75,65,76,66,65,68,69
EAPR,FSM,Micronesia (Federated States of),DTP1,95,98,97,97,97,95,95,97,98,97,96,90,97,87,86,83,98,81,97,87,90,92,92,91,91,92,94,93,92,97,92,95,98,95,80,,,,,,,
Non-programme,MCO,Monaco,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,99,99,99,,,,,,,,
EAPR,MNG,Mongolia,DTP1,97,98,99,99,99,99,99,99,98,99,99,98,95,98,95,99,99,99,98,99,95,95,95,96,97,96,96,92,93,93,93,94,94,94,93,93,93,91,92,92,92,91
ECAR,MNE,Montenegro,DTP1,94,94,94,94,95,97,96,97,98,98,98,97,96,98,98,95,,,,,,,,,,,,,,,,,,,,,,,,,,
MENA,MAR,Morocco,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,94,98,97,98,93,99,99,91,94,92,90,95,93,93,93,94,95,84,75,70,66,57,,
ESAR,MOZ,Mozambique,DTP1,67,83,91,91,92,92,93,93,93,92,92,91,89,87,85,86,87,88,89,88,86,84,82,80,78,76,75,74,73,74,71,71,72,63,64,57,54,57,63,68,79,
EAPR,MMR,Myanmar,DTP1,45,87,93,95,94,94,94,92,90,89,88,93,93,88,89,86,76,86,80,81,81,87,87,92,96,96,94,91,96,95,94,96,74,53,47,44,39,33,32,29,24,22
ESAR,NAM,Namibia,DTP1,97,97,92,94,94,90,98,92,94,89,88,87,87,88,88,91,93,88,87,86,88,90,90,88,86,88,90,92,90,88,87,,,,,,,,,,,
EAPR,NRU,Nauru,DTP1,99,99,99,99,99,99,98,99,99,98,99,99,99,99,99,98,90,93,97,99,98,85,81,78,74,77,79,82,84,86,88,90,91,86,78,82,86,86,,,,
ROSA,NPL,Nepal,DTP1,92,89,96,96,96,95,94,94,94,90,96,85,94,84,85,93,81,88,82,84,84,84,91,92,92,85,77,77,75,73,71,68,69,70,71,63,57,52,47,41,39,28
Non-programme,NLD,Netherlands,DTP1,98,98,98,97,98,98,98,98,99,99,99,99,99,99,99,98,98,99,99,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Non-programme,NZL,New Zealand,DTP1,93,94,94,95,95,92,93,93,93,94,95,95,94,91,91,92,92,91,91,90,96,96,91,93,95,96,96,94,94,93,93,96,93,87,86,88,89,94,90,90,89,91
LACR,NIC,Nicaragua,DTP1,88,94,99,99,99,99,99,99,99,99,99,99,99,99,94,94,92,80,86,88,92,97,96,94,93,93,93,93,93,93,91,88,87,72,75,70,64,58,48,52,47,39
WCAR,NER,Niger,DTP1,94,93,92,91,95,92,93,95,89,87,86,83,81,76,68,63,58,56,53,51,48,46,43,44,45,44,42,41,39,38,36,46,35,29,27,24,22,24,24,25,25,
WCAR,NGA,Nigeria,DTP1,70,70,68,67,65,62,49,48,50,51,56,60,73,63,52,49,48,46,45,43,42,42,41,48,70,51,59,69,54,68,64,79,72,61,54,46,39,29,,,,
EAPR,NIU,Niue,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,95,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,93,83,68,56,44,28,27
Non-programme,NOR,Norway,DTP1,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,97,98,98,95,94,94,93,94,95,96,96,,,
